Datenreihen-Informationen
Name:			40_T0_-10hPa_2gL_Xan 1
Benutzer:			Christoph
Bemerkung:			d=4mm
Anzahl Abschnitte:			1
Applikation:			RHEOPLUS/32 V3.21 21001964-33025
Messgerät:			MCR300 SN651691; FW3.22; Slot2
Datum/Zeit:			06.06.2017; 16:50
Messsystem:			PPR 25; [d=4 mm]
Zusatzgeräte:			TU1=TEK 150P-C

Umrechnungskonstanten:
- Norm. Csr [min/s]:			1,3068502
- Norm. Css [Pa/mNm]:			327,55827
- Startverzögerungszeit [s]:			20,204
- Messsystem-Typ:			1
- Motorkorrekturfaktor:			1

Abschnitt:			1
Anzahl Messpunkte:			30

Zeitvorgabe:			30 Messpunkte
Messprofil:
- Deformation			Amplitude gamma = 0,0001 ... 100 % log
			Frequenz f = 0,5 Hz

Messpkt.	Deformation	Schubspannung	Scherrate	Speichermodul	Verlustmodul	Verlustfaktor	Normalkraft	Auslenkwinkel	Moment	Status
	[%]	[Pa]	[1/s]	[Pa]	[Pa]	[1]	[N]	[mrad]	[µNm]	[]
1	0,0001005	5,082E-1	3,158E-6	4,967E+5	9,387E+4	0,189	0,3329	0,0003222	1,552	DSO
2	0,0001618	8,2E-1	5,082E-6	4,983E+5	9,304E+4	0,1867	0,311	0,0005185	2,503	DSO
3	0,0002596	1,282E0	8,155E-6	4,88E+5	7,571E+4	0,1551	0,2957	0,000832	3,914	DSO
4	0,0004172	2,12E0	1,311E-5	5,04E+5	6,458E+4	0,1281	0,2821	0,001337	6,472	DSO
5	0,0006721	3,426E0	2,112E-5	5,056E+5	6,501E+4	0,1286	0,2678	0,002154	10,46	DSO
6	0,001082	5,55E0	3,401E-5	5,089E+5	6,232E+4	0,1225	0,2598	0,00347	16,94	DSO
7	0,001743	8,922E0	5,476E-5	5,082E+5	6,098E+4	0,12	0,2488	0,005587	27,24	DSO
8	0,002807	1,409E+1	8,818E-5	4,979E+5	6,344E+4	0,1274	0,2386	0,008997	43,01	DSO
9	0,004521	2,216E+1	1,42E-4	4,861E+5	6,293E+4	0,1295	0,2318	0,01449	67,65	DSO
10	0,007277	3,418E+1	2,286E-4	4,654E+5	6,296E+4	0,1353	0,2243	0,02333	104,3	DSO
11	0,01172	5,124E+1	3,681E-4	4,325E+5	6,421E+4	0,1484	0,2143	0,03756	156,4	DSO
12	0,01887	7,446E+1	5,928E-4	3,893E+5	6,441E+4	0,1654	0,2085	0,06048	227,3	DSO
13	0,03039	1,041E+2	9,546E-4	3,367E+5	6,319E+4	0,1877	0,1997	0,0974	317,8	DSO
14	0,04892	1,398E+2	1,537E-3	2,794E+5	5,972E+4	0,2137	0,1953	0,1568	426,8	DSO
15	0,07879	1,797E+2	2,475E-3	2,215E+5	5,466E+4	0,2468	0,186	0,2526	548,7	DSO
16	0,1269	2,196E+2	3,985E-3	1,665E+5	4,733E+4	0,2843	0,1654	0,4066	670,4	DSO
17	0,2043	2,507E+2	6,418E-3	1,169E+5	3,74E+4	0,32	0,137	0,6548	765,4	DSO
18	0,3289	2,664E+2	1,033E-2	7,625E+4	2,735E+4	0,3587	0,09803	1,054	813,4	DSO
19	0,5297	2,638E+2	1,664E-2	4,63E+4	1,834E+4	0,3962	0,05756	1,698	805,4	DSO
20	0,8529	2,449E+2	2,679E-2	2,644E+4	1,118E+4	0,423	0,01682	2,734	747,5	DSO
21	1,373	2,286E+2	4,315E-2	1,525E+4	6,681E+3	0,4382	-0,01794	4,402	698	DSO
22	2,211	2,128E+2	6,947E-2	8,789E+3	3,923E+3	0,4464	-0,04628	7,088	649,8	DSO
23	3,562	2,246E+2	1,119E-1	5,744E+3	2,599E+3	0,4525	-0,05762	11,42	685,5	DSO
24	5,734	2,335E+2	1,801E-1	3,7E+3	1,701E+3	0,4599	-0,06969	18,38	712,9	DSO
25	9,234	2,351E+2	2,901E-1	2,221E+3	1,245E+3	0,5604	-0,07297	29,6	717,9	DSO
26	14,87	2,42E+2	4,671E-1	1,315E+3	9,589E+2	0,7291	-0,07675	47,65	738,8	DSO
27	23,94	2,396E+2	7,522E-1	6,569E+2	7,546E+2	1,149	-0,09107	76,75	731,4	DSO
28	38,56	2,649E+2	1,211E0	3,627E+2	5,835E+2	1,609	-0,101	123,6	808,7	DSO
29	62,09	3,231E+2	1,951E0	2,178E+2	4,725E+2	2,17	-0,1008	199	986,3	DSO
30	99,98	3,939E+2	3,141E0	1,307E+2	3,717E+2	2,845	-0,08686	320,5	1.203	DSO
